locationId,locationName,locationType,companyOwner,companyOperator,operationalStatus,products,pipelineConnections,locationNameAlternative,processingCapacity,transportationCapacity,activeTerminalingCapacity,storageCapacity,accessPipeline,accessRail,accessTruck,accessMarine,truckBayCount,grossRackCapacity,tankCount,NGLLPGStorage,butaneBlending,biodieselBlending,latitude,longitude,fax,name,cell,phone,role,email,locationOperatorId,timsId,locationIdSAP,locationIdETRM,terminalControlNumber,triFacilityId,city,state,zip,line1,line2
525,Denver,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'MPL Mountain'],Aurora,,0,,600000,In,No,Both,No,4,,15,,,,39.7582,-104.8135,(303) 344-1512,,,(303) 344-1511,,,259,8855,,,T-84-CO-4100,,Aurora,CO,80011,15000 E. Smith Rd.,
526,Des Moines MPL,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']","[u'MPL Central', u' ONEOK Partners']",,,0,,2100000,In,No,Both,No,,,,,,,41.5595,-93.5282,(515) 261-6691,Steve Seward,,(515) 261-6698,Terminal Contact,steve.seward@magellanlp.com,201,1763,035X,PLEASANT HILL IA MMP TTERM,T-42-IA-3457,,Des Moines,IA,50317,2503 Southeast 43rd Street,
527,Des Moines BPL,Terminal,"Buckeye Partners, LP","Buckeye Terminals, LLC",Operational,"[u'Ethanol', u' Gasoline', u' Low Sulfur Diesel', u' Refined Products', u' Ultra Low Sulfur Diesel']",[u'Buckeye V System'],,,0,,380800,In,No,Out,No,,,,,,,41.6043,-93.7348,,,,(515) 226-4017,,dlmontoya@buckeye.com,,,,,T-42-IA-3456,,Des Moines,IA,50325,1501 Northwest 86th Street,
530,Doniphan,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Magellan'],,,0,,500000,In,No,Both,No,,,,,,,40.7522,-98.3769,(402) 744-3781,Irene Wirit,,(402) 744-3711,Terminal Contact,irene.wirit@magellanlp.com,221,8369,03Y8,DONIPHAN NE MMP TTERM,T-47-NE-3602,,Doniphan,NE,68832,12275 South U.S. Hwy 281,
531,Dubuque,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Magellan'],,,0,,100000,In,No,Both,No,,,,,,,42.4122,-90.7327,(563) 588-4210,Jeff Selvidge,,(563) 588-3311,Terminal Contact,jeff.selvidge@magellanlp.com,225,2076,036D,DUBUQUE IA MMP TTERM,T-42-IA-3460,,Dubuque,IA,52003,8038 St. Joe's Prairie Road,
535,Enid,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,[u'Refined Products'],[u'Magellan'],,,0,,300000,In,No,Out,No,,,,,,,36.411,-97.8362,(580) 234-0148,Jeff Selvidge,,(580) 234-6748,Terminal Contact,jeff.selvidge@magellanlp.com,354,2051,372,ENID OK MMP TTERM,T-73-OK-2606,,Enid,OK,73701,1401 North 30th Street,
536,Fort Dodge,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,[u'Refined Products'],[u'Magellan'],,,0,,100000,No,No,No,No,,,,,,,42.5108,-94.3011,(515) 543-4564,,,(515) 543-4563,,,,,,,T-42-IA-3461,,Fort Dodge,IA,50532,3140 Two Hundred Street,
538,Geneva,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasolines', u' Fuel Oils', u' Propane', u' Natural Gasoilne', u' Ethanol']",[u'NuStar East'],,,0,,649000,In,No,Both,No,2,,33,,,,40.5503,-97.5952,(402) 759-3023,Larry Loseke,,(402) 759-3162,Terminal Contact,larry.loseke@nustarenergy.com,132,1734,383,GENEVA NE KA TTERM,T-47-NE-3601,,Geneva,NE,68361,1479 North 13th Street,
539,Glenpool North,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,[u'Cherokee East'],,,,,366000,,No,Yes,No,2,19000,,No,No,No,36.013,-95.9942,,Terry Redleaf,,(918) 299-2911,Operator,,CO-078,25350,032N,GLENPOOL OK NORTH ETERM,T-73-OK-2608,,Jenks,OK,74037,10600 South Elwood,
537,Fort Smith,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,[u'Refined Products'],[u'Magellan'],,,0,,,,,,,,,,,,,35.3091,-94.395,(501) 646-1649,Terry Gill,,(501) 646-1721,Operator,,377,1628,037Y,FT SMITH AR MMP TTERM,,,Fort Smith,AK,,8101 Highway 71 South,
540,Glenpool EXP,Terminal,Explorer Pipeline Company,Explorer Pipeline Company,Operational,,[u'Explorer'],,,,,,,,,,,,,,,,35.9777,-96.0067,,,,,,,,,,,,,Glenpool,OK,74037,1312 West 126th,
541,Glenpool South,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,[u'Refined Products'],"[u'Cherokee East', u' Explorer', u' Magellan']",,,,,261000,,No,No,No,0,,,No,No,No,35.975228,-96.003876,,Thomas Petty,,,Pipeline Operator,,CO-080,25362,A3FT,GLENPOOL OK SOUTH ETERM,,,Glenpool,OK,74037,917 West 131st Street South,null
545,Iowa City,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Magellan'],,,0,,600000,In,No,Both,No,,,,,,,41.6831,-91.567,(319) 354-8643,,,(319) 354-3976,,,202,1853,035B,CORALVILLE IA MMP TTERM,T-42-IA-3463,,Coralville,IA,52241,912 First Avenue,
546,Jefferson City,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,[u'Gold Line'],,,,16000,110000,,No,Yes,No,2,,8,Yes,No,No,38.5481,-92.2148,,Bill Maloney,,(573) 636-4984,,,22,1779,03AA,JEFFERSON CITY MO ETERM,T-43-MO-3709,,Jefferson City,MO,65109,2116 Idlewood,
548,Kansas City MPL,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Phillips 66'],,,0,,1780000,In,No,Out,No,,,40,,,,39.1401,-94.6027,(913) 281-1623,Jeff Myers,,(913) 281-0771,Terminal Manager,jeff.myers@magellanlp.com,200,1888,03AH,KANSAS CITY KS MMP TTERM,T-48-KS-3659,,Kansas City,KS,66115,401 East Donovan Road,
549,Kansas City,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,"[u'Gold', u' Explorer', u' Buckeye', u' Marathon', u' Magellan']",,,,66000,1294000,,No,Yes,No,5,,17,No,Yes,Yes,39.1257,-94.6092,,Jay Guarino,,(913) 342-0510,Terminal Contact,jay.v.guarino@p66.com,38,1868,03AG,,T-48-KS-3672,66115PHLLP2029F,Kansas City,KS,66115,2029 Fairfax Trafficway,
552,Lincoln MPL,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Heartland'],,,0,,100000,In,No,Both,No,,,,,,,40.6979,-96.6929,(402) 421-7042,Irene Wirit,,(402) 434-3234,Terminal Contact,irene.wirit@magellanlp.com,336,2342,03JF,ROCA NE MMP TTERM,T-47-NE-3605,,Roca,NE,68430,2000 Saltillo Road,
553,Lincoln,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,"[u'Magellan', u' Heartland']",Roca,,,,219000,,No,Yes,No,2,21000,,No,No,No,40.6973,-96.7016,,Scott Bartek,,(402) 423-6111,Terminal Contact,dave.a.stallwitz@p66.com,,2339,,,T-47-NE-3603,,Roca,NE,68430,1345 Saltillo Road,
543,Hartford,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,"[u'Gold Line', u' Explorer', u' Buckeye', u' Omega']",,,,,1075000,,No,Yes,Yes,3,25000,26,Yes,No,Yes,38.812,-90.094,,,,(618) 251-2780,,,,,,,T-37-IL-3353,,Hartford,IL,62048,2150 South Delmar Avenue,
555,Mason City,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Refined Products', u' Ethanol', u' Biodiesel']",[u'Magellan'],,,0,,600000,No,No,No,No,,,,,,,43.1394,-93.3535,(641) 357-5130,John Riley,,(641) 357-2124,Terminal Contact,john.riley@magellanlp.com,207,1933,03CB,CLEAR LAKE IA MMP TTERM,T-42-IA-3465,,Clear Lake,IA,50428,2810 East Main Avenue,
559,Milford NUS,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasoline', u' Fuel Oils', u' Natural Gasoline', u' Ethanol']",[u'CHS'],,,0,,168000,No,No,Both,No,2,,12,,,,43.3271,-95.167,(712) 338-2295,Dan Klinetobe,,(712) 338-4732,Terminal Contact,dan.klinetobe@nustarenergy.com,,,,,T-42-IA-3466,,Milford,IA,51351,2127 220th Street,
560,Milford MPL,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Magellan'],,,0,,200000,In,No,Both,No,,,,,,,43.2923,-95.1514,(712) 338-2471,Alan Paul,,(712) 338-2241,Terminal Contact,alan.paul@magellanlp.com,229,1807,03D5,MILFORD IA MMP TTERM,T-42-IA-3467,,Milford,IA,51351,2451 Highway 71,
561,Mount Vernon P66,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,"[u'Cherokee East', u' TransMontaigne']",,,,,363000,,No,Yes,No,4,46000,,Yes,No,Yes,37.1888,-93.7823,,William Maloney,,(417) 452-3761,Terminal Contact,,CO-075,25349,03DR,MT VERNON MO COP ETERM,T-43-MO-3713,,Mount Vernon,MO,65712,15138 MO-96,
563,Norfolk,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasoline', u' Fuel Oils', u' Propane', u' Ethanol']",[u'NuStar East'],,,0,,179600,In,No,Both,No,2,,14,,,,42.0896,-97.4252,(402) 371-9790,Bruce Myers,,(402) 371-3150,Terminal Contact,bruce.myers@nustarenergy.com,134,1679,03F1,NORFOLK NE KA TTERM,T-47-NE-3606,,Norfolk,NE,68701,4708 North 13th Street,
564,North Platte,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasolines', u' Fuel Oils', u' Propane', u' Ethanol']",[u'NuStar East'],,,0,,240000,In,No,Both,No,3,,22,,,,40.9771,-100.7547,(308) 534-9441,Jeff Stone,,(308) 534-2540,Terminal Contact,jeff.stone@nustarenergy.com,183,2035,3.00E+006,N PLATTE NE KA TTERM,T-47-NE-3607,,North Platte,NE,69101,17504 South Highway 83,
565,Oklahoma City MPL,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']","[u'Magellan', u' Cherokee South']",Reno,,0,,300000,In,No,Out,No,,,,,,,35.4663,-97.4466,(405) 672-8903,Fred Neely,,(405) 670-2015,Terminal Contact,,376,,03RR,MMP TTERM,T-73-OK-2613,,Oklahoma City,OK,73117,251 North Sunnylane Road,
566,Oklahoma City P66,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,"[u'Magellan', u' Cherokee South']",,,,,352000,,No,Yes,No,4,48000,,No,Yes,Yes,35.4782,-97.432,,Neal Purdy,,(405) 670-0804,Terminal Contact,,CO-076,25360,03FD,OKLAHOMA CITY OK COP ETERM,T-73-OK-2612,73117CNCPH46NE1,Oklahoma City,OK,73111,4700 NE 10th Street,
567,Omaha,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,[u'Refined Products'],[u'Magellan'],,,0,,,In,In,Both,No,,,,,,,41.2767,-95.9211,,Travis Hussman,,(402) 342-5476,Terminal Contact,,211,1849,03FH,MMP TTERM,T-47-NE-3608,,Omaha,NE,68110,2205 North 11th St,
568,Osceola,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasolines', u' Fuel Oils']",[u'NuStar East'],,,0,,79000,In,No,Both,No,2,,7,,,,41.191,-97.5217,(402) 371-9790,Larry Loseke,,(402) 371-3150,Terminal Contact,bruce.myers@nustarenergy.com,133,,03FN,,T-47-NE-3610,,Norfolk,NE,68701,4708 North 13th Street,
569,Palmyra,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Biodiesel', u' Ethanol', u' Refined Products']",[u'Magellan'],,,0,,200000,In,No,Out,No,,,6,,,,39.877,-91.5261,(573) 769-4162,,,(573) 769-4802,,,205,1672,03FR,PALMYRA MO MMP TTERM,T-43-MO-3716,,Palmyra,MO,63461,6789 Country Road 312,
570,Paola,Terminal,"Phillips 66 Partners, LP",Phillips 66 Pipeline LLC,Operational,,[u'Gold Line'],,,,,750000,In,No,No,No,0,,,No,No,No,38.5075,-94.886,,Kyle Spencer,,(913) 294-2911,Pipeline/Tank Farm Operator,,137,8082,03Y4,PAOLA KS CLLC ETERM,,,Paola,KS,66071,25760 West 343rd Street,
573,Ponca City,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,,Kay,,,,51000,,,,,2,23000,,,,,36.6881,-97.0879,,,,(580) 767-6326,,,,25359,,,T-73-OK-2617,74603CNCPN1000S,Ponca City,OK,74601,South Highway 60,
577,Salina,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasolines', u' Fuel Oils', u' Ethanol']",[u'NuStar East'],,,0,,91000,In,No,Out,No,3,,9,,,,38.8412,-97.6419,(785) 827-7432,Tracy Wallick,,(785) 827-3854,Terminal Contact,tracy.wallick@nustarenergy.com,120,2382,03KB,SALINA KS KA TTERM,T-48-KS-3663,,Salina,KS,67401,2137 West Old Highway 40,
578,Scott City,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,[u'Refined Products'],[u'MPL Mountain'],,,0,,300000,In,No,Out,No,,,,,,,38.5994,-100.9058,(620) 872-2952,Stan Rogers,,(620) 872-2086,Terminal Contact,stan.rogers@magellanlp.com,248,2435,03L6,SCOTT CITY KS MMP TTERM,,,Scott City,KS,67871,100 Hwy 4,
579,Sioux City,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,[u'Refined Products'],[u'Magellan'],,,0,,600000,No,No,No,No,,,,,,,42.5389,-96.3575,(712) 239-1854,Alan Paul,,(712) 239-2533,Terminal Contact,alan.paul@magellanlp.com,212,2212,03LR,SIOUX CITY IA MMP TTERM,T-42-IA-3473,,Sioux City,IA,51108,4300 41st Street,
580,Sioux Falls MPL,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Magellan'],,,0,,600000,In,No,Both,No,3,,28,,,,43.5448,-96.7919,(605) 335-0075,,,(605) 338-5771,,,213,,,,T-46-SD-3554,,Sioux Falls,SD,57107,5300 West 12th Street,
581,Sioux Falls NUS,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasoline', u' Fuel Oils', u' Natural Gasoline', u' Ethanol']",[u'NuStar East'],,,0,,374000,In,No,Both,No,2,,10,,,,43.5111,-96.7421,(605) 334-1362,Ron Kleinsasser,,(605) 336-3158,Terminal Contact,ron.kleinsasser@nustarenergy.com,,,,,T-46-SD-3353,,Sioux Falls,SD,57105,3721 South Grange Avenue,
583,Springfield,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Magellan'],,,0,,300000,In,No,Out,No,,,,,,,37.159,-93.4239,(417) 865-1767,,,(417) 865-3489,,,228,2010,032U,SPRINGFIELD MO MMP TTERM,T-43-MO-3718,,Brookline,MO,65619,2550 North Brookline Avenue,
589,Topeka,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Magellan'],,,0,,100000,In,No,Out,No,,,,,,,38.9215,-95.6863,,Jon Jacobs,,(785) 862-1602,Terminal Contact,jon.jacobs@magellanlp.com,223,2405,03NS,WAKARUSA KS WM TTERM,T-48-KS-3665,,Wakarusa,KS,66546,8050 SW Topeka Boulevard,
584,St Louis North,Terminal,"Buckeye Partners, LP","Buckeye Terminals, LLC",Operational,"[u'Gasoline', u' ULSD', u' Ethanol']",[u'Wood River'],,,,,85000,Yes,No,Both,No,,,,,,,38.679399,-90.200151,,,,(314) 231-2000,,,,,,,T-43-MO-3725,,St Louis,MO,63147,239 East Prarie Avenue,
585,Sugar Creek,Terminal,"Buckeye Partners, LP","Buckeye Terminals, LLC",Operational,"[u'Gasoline', u' ULSD', u' Ethanol']",[u'Buckeye'],,,,,,Yes,No,Yes,No,,,,,,,39.120307,-94.443497,,,,(816) 836-6000,,,,,,,T-43-MO-3720,,Sugar Creek,MO,64054,1000 North Sterling Avenue,
592,Valley Center,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,,[u'MPL Mountain'],Wichita,,,,,,,,,2,,,,,,37.8185,-97.3703,(316) 755-1202,Robb Barnes,,(316) 755-1201,Terminal Contact,robb.barnes@magellanlp.com,313,19453,03PA,WICHITA KS MPC TTERM,,,Valley Center,KS,67147,1120 South Meridian Avenue,
593,Waterloo,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'Magellan'],,,0,,400000,In,No,Both,No,,,,,,,42.4375,-92.4222,(319) 988-3681,John Riley,,(319) 988-3269,Terminal Contact,john.riley@magellanlp.com,203,2519,03NW,WATERLOO IA MMP TTERM,T-42-IA-3474,,Waterloo,IA,50701,5360 Eldora Road,
597,Wichita South,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,[u'Cherokee North'],,,,,255000,Yes,No,No,No,4,,10,No,No,No,37.6495,-97.2434,,Jed Morse,,(316) 681-2081,Operator,,CO-077,25354,A3LH,WICHITA KS COPS ETERM,T-48-KS-3670,,Wichita,KS,67207,8000-8114 E Oak Knoll Road,
600,Medford,Terminal,Phillips 66 Company,Phillips 66 Company,Operational,[u'LPG'],[u'Medford'],,,,,,,,,,,,,,,,36.8069,-97.7333,,,,,,,,,,,,,Medford,OK,73759,RR2 Box 147A,
596,Wichita North,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,"[u'Gold Line', u' Standish', u' NuStar East']",,,,19000,679000,,No,Yes,No,2,19000,13,No,No,No,37.7548,-97.3077,,Jay Guarino,,(316) 838-3411,Terminal Contact,jay.v.guarino@p66.com,21,2123,03P9,WICHITA KS COPN ETERM,T-48-KS-3671,67219PHLLP2400E,Wichita,KS,67219,2400 East 37th Street North,
614,McPherson NUS,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,,[u'NuStar'],,,,,,,,,,,,,,,,38.3341,-97.6672,,Jay Guarino,,(620) 241-2641,Terminal Contact,jay.v.guarino@p66.com,,,,,,,McPherson,KS,67460,1152 14th Avenue,
607,Hutchinson,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Ethanol', u' Gasoline', u' Diesel', u' Kerosene']",[u'NuStar'],,,,,114000,In,No,Both,No,2,,5,,,,38.0438,-97.8745,(620) 662-6579,Tracy Wallick,,(620) 662-7561,Terminal Contact,tracy.wallick@nustarenergy.com,,,,,T-48-KS-3656,,Hutchinson,KS,67501,3300 East Avenue,
612,Council Bluffs CHS,Terminal,CHS Inc,CHS Inc,Operational,,,,,0,,,,,,,,,,,,,41.2168,-95.8344,,,,,,,,,,,,,Council Bluffs,IA,51503,825 Tank Farm Road,
608,Olathe,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,,,,,,,,,,,,,,,,,,38.8831,-94.7454,,Jon Jacobs,,,Terminal Contact,jon.jacobs@magellanlp.com,,,,,T-48-KS-3661,,Olathe,KS,66062,13745 West 135th Street,
609,Bettendorf USO,Terminal,U.S. Oil,U.S. Oil,Operational,"[u'Ethanol', u' Gasoline', u' Diesel', u' Kerosene']",[u'Magellan'],,,,,,In,No,Out,In,,,18,,,,41.5232,-90.4917,,Rick Jensen,,(920) 831-8898,Terminal Manager,rjensen@usoil.com,2383,,A3QP,BETTENDORF IA NOB TTERM,T-42-IA-3452,,Bettendorf,IA,52722,2925 Depot Street,
610,Rock Rapids,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasolines', u' Fuel Oils', u' Ethanol']",[u'NuStar East'],,,,,223000,In,No,Both,No,2,,5,,,,43.4325,-96.1905,(712) 472-3150,Dan Klinetobe,,(712) 472-2575,Terminal Contact,dan.klinetobe@nustarenergy.com,,,,,T-42-IA-3472,,Rock Rapids,IA,51246,3025 Highway 9 Street,
611,Rogers,Terminal,TransMontaigne Partners,"Magellan Pipeline Company, LP",Operational,"[u'Diesel', u'Gasoline', u'Ethanol']",[u'Razorback'],,,,,189000,,,,,,,,,,,36.3585,-94.1618,,,,,,,411,24131,,,,,,,,,
542,Great Bend,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'MPL Mountain'],,,0,,600000,In,No,Out,No,,,,,,,38.3689,-98.692,(620) 792-3757,Jeff Binstock,,(620) 792-4707,Terminal Contact,jeff.binstock@magellanlp.com,245,2020,038F,GREAT BEND KS MMP TTERM,T-48-KS-3655,,Great Bend,KS,67530,1/4 mile N Jct. Hwy 56/Hwy 156,
