id,name,city,contact_email,contact_fax,contact_name,contact_phone,contact_role,latitude,longitude,operational,rack_capacity,state,storage_capacity,street,operator_id,owner_id,terminaling_capacity,truck_bays,type,zip,pipeline_access,rail_access,truck_access,marine_access,irs_motor_fuel_terminal_id
34,Altoona,Williamsport,,,,,,41.241,-76.9856,TRUE,,PA,, ,37,37,,,terminal,17702,,,,,0
35,Amandaville River,Saint Albans,,,,,,38.3881,-81.8233,TRUE,,WV,, ,148,148,,,terminal,25177,,,,,0
36,Amarillo East,Amarillo,,,,,,35.20202,-101.751383,TRUE,,TX,,7939 SE 3rd Avenue,33,33,,,terminal,79104,,,,,T-75-TX-2693
37,Amarillo NUS,Amarillo,andy.murdock@nustarenergy.com,8063727989,Andy Murdock,8063797966,Terminal Contact,35.265085,-101.88681,TRUE,,TX,255000,4200 West Cliffside,6,6,,4,terminal,79124,both,none,both,none,T-75-TX-2653
38,Amarillo P66,Amarillo,,,,,,35.26552,-101.891148,TRUE,,TX,277000,4300 Cliffside Dr,7,475,,5,terminal,79124,both,,both,,T-75-TX-2654
39,Amelia,Morgan City,,,,,,29.697653,-91.265374,TRUE,,LA,,141 Offshore Lane,13,13,,,terminal,70380,,,,,T-72-LA-2412
40,Americus,Americus,,,,2299243464,,32.054771,-84.305486,TRUE,,GA,93000,173 US Highway 280 West,8,8,,2,terminal,31709,,,,,T-58-GA-2505
41,Anacortes,Anacortes,,,,,,48.497448,-122.55724,TRUE,,WA,,Marches Point Five Miles,18,18,,,terminal,98221,,,,,T-91-WA-4400
42,Anacortes,Anacortes,,,,,,48.460434,-122.527563,TRUE,,WA,,West March Point Road,17,17,,,terminal,98221,,,,,T-91-WA-4428
43,Anaheim,Anaheim,,,,,,33.866553,-117.837473,TRUE,,CA,,1477 Jefferson,4,134,,,terminal,92806,,,,,T-33-CA-4750
44,Anchorage,Anchorage,,,,,,61.181964,-149.993141,TRUE,,AK,,6000 Dehaviland Ave.,15,15,,,terminal,99502,,,,,T-91-AK-4520
45,Anchorage,Anchorage,,,,,,61.215602,-149.897568,TRUE,,AK,,7th Avenue & H Street,32,32,,,terminal,99501,,,,,T-91-AK-4538
46,Anchorage ANDV,Anchorage,,,,,,61.23324,-149.890919,TRUE,,AK,,1076 Ocean Dock Road,17,17,,,terminal,99501,,,,,T-92-AK-4501
47,Anchorage,Anchorage,,,,,,69.216237,-146.787467,TRUE,,AK,,Lat 70.3238  Lon -149.6051,423,423,,,terminal,99519,,,,,T-92-AK-4578
48,Anchorage,Adak,,,,,,51.88,-176.6576,TRUE,,AK,, ,313,313,,,terminal,99546,,,,,0
49,Anchorage,Anchorage,,,,,,61.2296,-149.8908,TRUE,,AK,,0,14,14,,,terminal,99501,,,,,0
50,Andrews AFB,Andrews Air Force Base,todd.wiskur@nustarenergy.com,3015996402,Todd Wiskur,3015996400,Terminal Contact,38.8266,-76.8586,TRUE,,MD,72000,"Building 3014, East Perimeter Rd",6,6,,0,terminal,20331,out,none,none,in,0
51,Aniak,Chuathbaluk,,,,,,61.582067,-159.535235,TRUE,,AK,,River Rd.,32,32,,,terminal,99557,,,,,T-91-AK-4544
52,Aniak,Lime Village,,,,,,61.3505,-155.4378,TRUE,,AK,, ,34,34,,,terminal,99673,,,,,0
53,Anniston,Anniston,,,,,,33.591721,-85.889638,TRUE,,AL,,2625 Highway 78 East,45,45,,,terminal,36203,,,,,T-63-AL-2333
54,Anse La Butte,Breaux Bridge,,,,,,30.2618,-91.9457,TRUE,,LA,, ,22,22,,,terminal,70517,,,,,0
55,Apex Tank,Apex,,,,,,35.7055,-78.8355,TRUE,,NC,, ,388,388,,,terminal,27539,,,,,0
56,Arcadia,Arcadia,,,,,,32.554239,-92.930869,TRUE,,LA,,Highway 80 East,12,12,,,terminal,71001,,,,,T-72-LA-2351
57,Arcadia,Arcadia,,,,,,32.554239,-92.930869,TRUE,,LA,,Highway 80 East,5,5,,,terminal,71001,,,,,T-72-LA-2353
58,Ardmore,Ardmore,,,,,,34.156627,-97.179214,TRUE,,OK,,One Valero Way,102,102,,,terminal,73401,,,,,T-73-OK-2600
59,Ardmore Plant,Ardmore,,,,,,34.2015,-97.1168,TRUE,,OK,, ,11,11,,,terminal,73401,,,,,0
60,Argentine,Kansas City,,,,,,39.078906,-94.659039,TRUE,,KS,,2201 Argentine Blvd,33,33,,,terminal,66106,,,,,T-48-KS-3657
61,Argo,Summit-Argo,,7084962540,Greg West,7084581330,Terminal Manager,41.768943,-87.825929,TRUE,,IL,2493108,8500 West 68th Street,4,472,,,terminal,60501,,,,,T-36-IL-3305
62,Argo,Summit-Argo,,,,,,41.76331,-87.828923,TRUE,,IL,,8600 West 71st. Street,1,1,,,terminal,60501,,,,,T-36-IL-3315
63,Argo Harlem,Berwyn,,,Greg West,,Terminal Manager,41.805617,-87.801113,TRUE,,IL,568000,4811 South Harlem Avenue,4,470,,,terminal,60402,both,,,,T-36-IL-3302
64,Ark City,Arkansas City,,,,,,37.0619,-97.0381,TRUE,,KS,, ,90,90,,,terminal,67005,,,,,0
65,Arkansas City,East Arkansas City,,,,8708772404,,33.6052,-91.2155,TRUE,,AR,446000,Highway 4,8,8,,0,terminal,71630,,,,,0
66,Arlington,Arlington,,,,,,38.885484,-77.099113,TRUE,,VA,,11 Air Cargo Rd.,174,174,,,terminal,22201,,,,,T-54-VA-1686
67,Arlington Heights,Arlington Heights,,,,,,42.02798,-87.959808,TRUE,,IL,,3231 Busse Road,3,3,,,terminal,60005,,,,,T-36-IL-3307
68,Arlington Heights,Arlington Heights,,,,,,42.029629,-87.946295,TRUE,,IL,,1605 E. Algonquin Road,18,18,,,terminal,60005,,,,,T-36-IL-3316
69,Arlington Heights,Arlington Heights,,,,,,42.024826,-87.948245,TRUE,,IL,,2304 Terminal Drive,9,9,,,terminal,60005,,,,,T-36-IL-3318
70,Arlington Heights,Arlington Heights,,,,,,42.024914,-87.954974,TRUE,,IL,,2316 Terminal Drive,9,9,,,terminal,60005,,,,,T-36-IL-3304
71,Arlington Heights,Arlington Heights,,,,,,42.024227,-87.949903,TRUE,,IL,,3400 South Badger Road,41,41,,,terminal,60005,,,,,T-72-IL-0001
72,Arlington Heights,Arlington Heights,,,,,,42.028033,-87.959807,TRUE,,IL,,3223 Busse Road,41,41,,,terminal,60005,,,,,T-72-IL-0003
73,Armstrong,Goliad,,,,,,28.6681,-97.3881,TRUE,,TX,, ,26,26,,,terminal,77963,,,,,0
74,Artesia,Artesia,,,,,,32.842734,-104.391066,TRUE,,NM,,501 E Main,30,30,,,terminal,88210,,,,,T-85-NM-4256
75,Artesia,Artesia,,,,,,32.8659,-104.3954,TRUE,,NM,, ,83,83,,,terminal,88210,,,,,0
76,Ashkum,Ashkum,,,,,,40.876259,-87.973929,TRUE,,IL,,Rt 49 South,80,80,,,terminal,60911,,,,,T-37-IL-3364
77,Ashkum,Ashkum,,,,,,40.8363,-87.8648,TRUE,,IL,, ,91,91,,,terminal,60911,,,,,0
78,Aston,Aston,,,,,,39.849358,-75.425933,TRUE,,PA,,4041 Market Street,5,5,,,terminal,19014,,,,,T-23-PA-1746
79,Athens,Athens,,,,,,39.974981,-89.713653,TRUE,,IL,,18349 State Hwy 29,80,80,,,terminal,62613,,,,,T-37-IL-3372
80,Athens,Athens,,,,,,33.986266,-83.419643,TRUE,,GA,389000,3460 Jefferson Road,4,469,,,terminal,30607,in,,,,T-58-GA-2506
81,Athens,Athens,,,,7065432254,,33.986017,-83.419078,TRUE,,GA,203000,3450 Jefferson Road,8,8,,4,terminal,30607,,,,,T-58-GA-2508
82,Atlanta,Atlanta,,,,,,33.656824,-84.423648,TRUE,,GA,,#1 Fuel Farm Road (No Cgo.),97,97,,,terminal,30354,,,,,T-58-GA-2512
83,Atlanta,Atlanta,,,,,,33.656824,-84.423648,TRUE,,GA,,1360 NLVR Road (FIS),97,97,,,terminal,30354,,,,,T-58-GA-2513
84,Atlanta,Atlanta,,,,,,33.656824,-84.423648,TRUE,,GA,,1625 Fuel Farm Rd. (City),97,97,,,terminal,30354,,,,,T-58-GA-2536
85,Atlanta,Atlanta,,,,,,33.801668,-84.443231,TRUE,,GA,,1550 Marietta Dr NW,104,104,,,terminal,30318,,,,,T-58-GA-2553
86,Atlanta,Atlanta,,,,,,33.656824,-84.423648,TRUE,,GA,,1500 Fuel Farm Road,115,115,,,terminal,30354,,,,,T-58-GA-2555
87,Atlanta,Cartersville,,,,,,34.1409,-84.8489,TRUE,,GA,, ,81,81,,,terminal,30120,,,,,0
88,Atmore,Atmore,,,,,,31.136018,-87.447674,TRUE,,AL,,4745 Ross Road,195,195,,,terminal,36502,,,,,T-72-AL-2344
89,Augusta,Augusta,,,,,,33.3838,-81.9849,TRUE,,GA,, ,81,81,,,terminal,30906,,,,,0
90,Aurora,Aurora,,,,,,41.311704,-81.292977,TRUE,,OH,,0,89,89,,,terminal,44202,,,,,T-34-OH-3168
91,Aurora,Aurora,,(303) 344-1512,,(303) 344-1511,,39.7582,-104.813,TRUE,,CO,600000,15000 East Smith Road,2,477,,4,terminal,80011,in,,both,,T-84-CO-4100
92,Aurora,Aurora,,,,,,41.315,-81.3455,TRUE,,OH,, ,95,95,,,terminal,44202,,,,,0
93,Austin,Austin,,,,512-928-9226,,30.32425,-97.628176,TRUE,,TX,,9011 Johnny Morris Road,14,14,,,terminal,78724,,,,,T-74-TX-2706
94,Austin Plant,Austin,,,,,,30.3772,-97.7373,TRUE,,TX,, ,11,11,,,terminal,78759,,,,,0
95,Avery Lane,Portsmouth,,,,,,43.109364,-70.812958,TRUE,,NH,,372 Shattuck Way,61,61,,,terminal,3801,,,,,T-02-NH-1050
96,Avondale,Westwego,,,,,,29.919672,-90.195711,TRUE,,LA,,5450 River Road,35,35,,,terminal,70094,,,,,T-72-LA-2400
97,Bainbridge,Bainbridge,,,,,,30.903841,-84.543993,TRUE,,GA,,1803 East Shotwell St.,10,10,,,terminal,39819,,,,,T-58-GA-2514
98,Bainbridge,Bainbridge,,,,2292460955,,30.903634,-84.542002,TRUE,,GA,367000,1909 East Shotwell Street,8,8,,3,terminal,39819,,,,,T-58-GA-2515
99,Bainbridge,Bainbridge,,,,,,30.8971,-84.6136,TRUE,,GA,, ,11,11,,,terminal,31717,,,,,0
100,Bairstow,Daggett,,,,7602542616,,34.875598,-116.886936,TRUE,,CA,126165,34277 Yermo Daggett Road,4,4,,2,terminal,92327,in,,,,T-33-CA-4761
101,Bakersfield,Delano,,,,,,35.29669,-118.918571,TRUE,,CA,,7724 East Panama Lane,301,301,,,terminal,93216,,,,,T-77-CA-4655
102,Bakersfield,Bakersfield,,,,,,35.382161,-119.074141,TRUE,,CA,,2436 Fruitvale Avenue,294,294,,,terminal,93308,,,,,T-77-CA-4657
103,Bakersfield,Bakersfield,,,,,,35.395369,-119.046552,TRUE,,CA,,3542 Shell St.,248,248,,,terminal,93308,,,,,T-77-CA-4664
104,Bakersfield,Bakersfield,,,,,,35.3986,-119.0543,TRUE,,CA,, ,26,26,,,terminal,93308,,,,,0
105,Bakersfield,Bakersfield,,,,,,35.3951,-119.0464,TRUE,,CA,, ,420,420,,,terminal,93308,,,,,0
106,Baldwin,Baldwin,,,,,,29.825662,-91.540394,TRUE,,LA,,163 Gordy Rd,169,169,,,terminal,70514,,,,,T-72-LA-2397
107,Baltimore BPL,Curtis Bay,,,,,,39.209678,-76.585614,TRUE,,MD,,6200 Pennington Avenue,1,1,,,terminal,21226,,,,,T-52-MD-1550
108,Baltimore NUS,Curtis Bay,don.lauer@nustarenergy.com,4103540161,Don Lauer,4103556262,Terminal Contact,39.243615,-76.577165,TRUE,,MD,832000,1800 Frankfurst Avenue,6,6,,3,terminal,21226,in,both,both,both,T-52-MD-1560
109,Baltimore MOT,Curtis Bay,,,,,,39.235896,-76.56552,TRUE,,MD,,2400 Petrolia Ave.,10,10,,,terminal,21226,,,,,T-52-MD-1561
110,Baltimore,Baltimore,,,,,,39.173866,-76.671519,TRUE,,MD,,Balto/Wash. Airport,15,15,,,terminal,21240,,,,,T-52-MD-1569
111,Baltimore SUN,Curtis Bay,,,,,,39.2307,-76.5708,TRUE,,MD,, ,5,5,,,terminal,21226,,,,,0
112,Baltimore,Curtis Bay,,,,,,39.2402,-76.5689,TRUE,,MD,, ,214,214,,,terminal,21226,,,,,0
113,Baltimore,Baltimore,,,,,,39.2746,-76.5905,TRUE,,MD,, ,69,69,,,terminal,21230,,,,,0
114,Baltimore North,Baltimore,,,,,,39.303879,-76.556653,TRUE,,MD,,5101 Erdman Avenue,59,59,,,terminal,21213,,,,,T-52-MD-1554
115,Baltimore South,Baltimore,,,,,,39.273151,-76.570369,TRUE,,MD,,1622 South Clinton Street,59,59,,,terminal,21224,,,,,T-52-MD-1559
116,Baltimore West,Curtis Bay,,,,,,39.24112,-76.577189,TRUE,,MD,,3100 Vera Street,63,63,,,terminal,21226,,,,,T-52-MD-1563
117,Baltimore West,Curtis Bay,,,,,,39.2413,-76.5766,TRUE,,MD,, ,305,305,,,terminal,21226,,,,,0
118,Bangor,Bangor,,,,,,44.782,-68.7814,TRUE,,ME,,730 Lower Main Street,1,1,,,terminal,4401,,,,,T-01-ME-1000
119,Barber's Point/Thomas Malone,Kapolei,,,,,,21.299201,-158.10146,TRUE,,HI,,91-119 Hanua Street,57,57,,,terminal,96707,,,,,T-99-HI-4551
120,Barge Division,Seward,,,,,,60.1029,-149.44,TRUE,,AK,, ,31,31,,,terminal,99664,,,,,0
121,Barstow,Barstow,,,,,,34.892919,-117.078705,TRUE,,CA,,200 North Avenue H,33,33,,,terminal,92311,,,,,T-33-CA-4749
122,Barton,Saint Paul,,,,,,44.9015,-93.0199,TRUE,,MN,, ,414,414,,,terminal,55119,,,,,0
123,Bastrop,Cedar Creek,,,,512-332-2150,,30.104708,-97.41685,TRUE,,TX,,115 Mount Olive Road,14,14,,,terminal,78612,,,,,T-74-TX-2752
124,Baton Rouge XOM,Baton Rouge,,,,,,30.488966,-91.158289,TRUE,,LA,,3329 Scenic Highway,16,16,,,terminal,70805,,,,,T-72-LA-2358
125,Baton Rouge,Baton Rouge,,,,,,30.4506,-91.1544,TRUE,,LA,,0,27,27,,,terminal,70806,,,,,0
126,Baton Rouge,Sunshine,,,,,,30.2866,-91.151,TRUE,,LA,, ,155,155,,,terminal,70780,,,,,0
127,Baton Rouge ELS,Port Hudson,,,,,,30.7197,-91.2734,TRUE,,LA,, ,398,398,,,terminal,70791,,,,,0
128,Bay City,Bay City,,,,,,43.618055,-83.86405,TRUE,,MI,,1806 Marquette,3,3,,,terminal,48706,,,,,T-38-MI-3032
129,Bay City,Bay City,,,,,,28.798156,-95.651058,TRUE,,TX,,2450 FM 3057,5,5,,,terminal,77414,,,,,T-76-TX-2828
130,Bayonne BPL,Bayonne,,,,,,40.670858,-74.109486,TRUE,,NJ,,Lower Hook Road,1,1,,,terminal,7002,,,,,T-22-NJ-1500
131,Bayonne IMTT,Bayonne,,,,,,40.658765,-74.105824,TRUE,,NJ,,250 East 22nd St.,35,35,,,terminal,7002,,,,,T-22-NJ-1503
132,Bayonne,Port Johnson,,,,,,40.6523,-74.1018,TRUE,,NJ,, ,105,105,,,terminal,7002,,,,,0
133,Beaumont,Beaumont,,,,,,29.964835,-94.048536,TRUE,,TX,,9406 West Port Arthur Rd,10,10,,,terminal,77705,,,,,T-76-TX-2783
134,Beaumont P66,Nederland,,,,,,29.9857,-94.0015,TRUE,,TX,2400000,128 Magnolia Ave,7,7,,1,terminal,77627,,,,,T-76-TX-2787
135,Beaumont,Beaumont,,,,,,29.981662,-94.059357,TRUE,,TX,,15651 W. Port Arthur Rd.,5,5,,,terminal,77705,,,,,T-76-TX-2798
136,Beaumont,Beaumont,,,,,,30.0658,-94.0714,TRUE,,TX,, ,16,16,,,terminal,77711,,,,,0
137,Beaumont Marine West,Beaumont,,,,,,30.0215,-94.0489,TRUE,,TX,, ,26,26,,,terminal,77705,,,,,0
138,Belen,Belen,,,,,,34.659617,-106.768329,TRUE,,NM,,106 N. First St.,33,33,,,terminal,87002,,,,,T-86-NM-4264
139,Belle Chasse,Pilottown,,,,,,29.2906,-89.3553,TRUE,,LA,, ,93,93,,,terminal,70081,,,,,0
140,Belle Vernon,Belle Vernon,,,,,,40.128359,-79.857759,TRUE,,PA,,200 Speers Road,89,89,,,terminal,15012,,,,,T-25-PA-1790
141,Belle Vernon,Belle Vernon,,,,,,40.1247,-79.8772,TRUE,,PA,, ,95,95,,,terminal,15012,,,,,0
142,Bellevue,Bellevue,,,,,,41.26785,-82.813069,TRUE,,OH,,24424 N. Prairie Rd.,87,87,,,terminal,44811,,,,,T-31-OH-3125
143,Bellevue MRO,Bellevue,,,,,,41.216488,-82.793687,TRUE,,OH,,Rural Route 4,3,3,,,terminal,44811,,,,,T-34-OH-3166
144,Bellevue,Bellevue,,4022929475,,4022922824,,41.117415,-95.932006,TRUE,,NE,,13029 S 13th Street,2,2,,,terminal,68123,,,,,T-39-NE-3612
145,Belmont,Philadelphia,,,,,,39.9214,-75.1921,TRUE,,PA,, ,5,5,,,terminal,19145,,,,,0
146,Belton,Belton,,,,8643385812,,34.552504,-82.491828,TRUE,,SC,,14033 Highway 20 North,8,8,,3,terminal,29627,,,,,T-57-SC-2050
147,Belton,Belton,,,,,,34.436873,-82.483177,TRUE,,SC,,Hwy 20 North,1,1,,,terminal,29627,,,,,T-57-SC-2051
148,Belton,Belton,,,,,,34.549896,-82.492192,TRUE,,SC,,14315 State Rt. 20,3,3,,,terminal,29627,,,,,T-57-SC-2053
149,Benicia,Benicia,,,,,,38.075923,-122.143157,TRUE,,CA,,3410 East Second Street,102,102,,,terminal,94510,,,,,T-68-CA-4603
150,Benton Il - Asphalt,Benton,,,,,,37.9917,-88.9158,TRUE,,IL,, ,3,3,,,terminal,62812,,,,,0
151,Berwick,Berwick,,,,,,29.667273,-91.238376,TRUE,,LA,,100 Spirit Lane,13,13,,,terminal,70342,,,,,T-72-LA-2415
152,Bethel,Bethel,,,,,,60.785723,-161.779651,TRUE,,AK,,1120 Standard Oil Road,32,32,,,terminal,99559,,,,,T-91-AK-4579
153,Bethel,Bethel,,,,,,60.7826,-161.7787,TRUE,,AK,, ,34,34,,,terminal,99559,,,,,0
154,Bettendorf BPL,Bettendorf,kboslett@buckeye.com,,,(563) 529-4023,,41.5253,-90.4894,TRUE,,IA,237400,75 South 31st Street,1,1,,,terminal,52722,both,,both,both,T-42-IA-3450
155,Bettendorf FHR,Bettendorf,,,,,,41.5239,-90.4775,TRUE,,IA,,4100 Elm Street,14,14,,,terminal,52722,,,,,0
156,Bettendorf MPL,Bettendorf,matthew.stevenson@magellanlp.com,5633550962,Matthew Stevenson,5633552931,,41.5321,-90.4695,TRUE,,IA,170000,312 South Bellingham Street,2,477,,,terminal,52722,in,,out,in,T-42-IA-3471
157,Bettendorf USO,Bettendorf,rjensen@usoil.com,,Rick Jensen,(920) 831-8898,Terminal Manager,41.525125,-90.491841,TRUE,,IA,,2925 Depot Street,19,19,,,terminal,52722,in,,out,in,T-42-IA-3452
158,Big Flats,Big Flats,,,,,,42.1431,-76.93165,TRUE,,NY,,3351 St. Rt. 352,99,99,,,terminal,14814,,,,,T-16-NY-1471
159,Big Flats,Big Flats,,,,,,42.1288,-76.9605,TRUE,,NY,, ,272,272,,,terminal,14814,,,,,0
160,Big Sandy,Big Sandy,,,,,,32.58764,-95.108032,TRUE,,TX,,Highway 155 and Sabine River,42,42,,,terminal,75755,,,,,T-76-TX-2784
161,Big Sandy - Asphalt,Catlettsburg,,,,,,38.4338,-82.606,TRUE,,KY,, ,3,3,,,terminal,41129,,,,,0
162,Big Spring,Big Spring,,,,,,32.27328,-101.373968,TRUE,,TX,,East IS-20 & Refinery Rd,177,177,,,terminal,79720,,,,,T-75-TX-2656
163,Billings,Billings,,,,,,45.7823,-108.4951,TRUE,,MT,88000,23rd & Fourth Ave South,7,475,,3,terminal,59101,,,,,T-81-MT-4000
164,Billings,Billings,,,,,,45.8066,-108.4335,TRUE,,MT,,607 Exxon Rd.,16,16,,,terminal,59101,,,,,T-81-MT-4007
165,Billings Plant,Billings,,,,,,45.6866,-108.7029,TRUE,,MT,, ,302,302,,,terminal,59106,,,,,0
166,Birmingham,Birmingham,,,,,,33.461271,-86.87784,TRUE,,AL,,2200 25th St Southwest,9,9,,,terminal,35211,,,,,T-63-AL-2302
167,Birmingham CVX,Birmingham,,,,,,33.459668,-86.878425,TRUE,,AL,,2400 28th St Southwest,12,12,,,terminal,35211,,,,,T-63-AL-2301
168,Birmingham MRO,Birmingham,,,,,,33.455208,-86.87853,TRUE,,AL,,2704 28th St Southwest,3,3,,,terminal,35211,,,,,T-63-AL-2306
169,Birmingham KMI,Birmingham,,,,,,33.459356,-86.875323,TRUE,,AL,164000,2635 Balsam Avenue SW,4,469,,,terminal,35211,in,,,,T-63-AL-2307
170,Birmingham,Birmingham,,,,,,33.449015,-86.889412,TRUE,,AL,,2601 Wilson Road,10,10,,,terminal,35221,,,,,T-63-AL-2308
171,Birmingham MPL,Birmingham,,(205) 925 8547,,(205) 925 8546,,33.459049,-86.872635,TRUE,,AL,,2400 Nabors Road,2,2,,,terminal,35211,,,,,T-63-AL-2309
172,Birmingham TMP,Birmingham,,,,2059251824,,33.476746,-86.852532,TRUE,,AL,178000,1600 Mims Ave SW,8,8,,2,terminal,35211,,,,,T-63-AL-2312
173,Birmingham,Birmingham,,,,,,33.457454,-86.877183,TRUE,,AL,,2529 28th Street SW,332,332,,,terminal,35211,,,,,T-63-AL-2340
174,Birmingham,Birmingham,,,,,,33.450519,-86.870813,TRUE,,AL,,2700 Ishkooda Wenonah Rd.,262,262,,,terminal,35211,,,,,T-72-AL-2343
175,Birmingham,Birmingham,,,,,,33.5355,-86.8295,TRUE,,AL,, ,410,410,,,terminal,35204,,,,,0
176,Birmingport,Mulga,,,,,,33.5607,-87.108,TRUE,,AL,, ,11,11,,,terminal,35118,,,,,0
177,Blaine,Blaine,,,,,,48.888714,-122.734087,TRUE,,WA,,4519 Grandview,52,52,,,terminal,98230,,,,,T-91-WA-4418
178,Blakeley,Mobile,,,,,,30.7065,-88.0388,TRUE,,AL,, ,21,21,,,terminal,36603,,,,,0
179,Blakeley,Mobile,,,,,,30.6323,-88.1543,TRUE,,AL,, ,27,27,,,terminal,36693,,,,,0
180,Blakeley Island,Mobile,,,,,,30.6449,-88.1325,TRUE,,AL,, ,13,13,,,terminal,36693,,,,,0
